detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
isolation_forest,1,alt_rate,0.01,all,mixed,climb,76,0.618421052631579,0.9868421052631579,False
isolation_forest,1,alt_rate,0.01,all,mixed,cruise,76,0.2894736842105263,1.894736842105263,False
isolation_forest,1,alt_rate,0.01,all,mixed,descent,76,0.9342105263157895,9.18421052631579,False
isolation_forest,1,alt_rate,0.01,all,mixed,overall,76,0.9868421052631579,12.052631578947368,False
isolation_forest,1,alt_rate,0.02,11,3,climb,18,0.9444444444444444,1.8888888888888888,True
isolation_forest,1,alt_rate,0.02,11,3,cruise,18,0.6111111111111112,4.055555555555555,True
isolation_forest,1,alt_rate,0.02,11,3,descent,18,1.0,28.11111111111111,True
isolation_forest,1,alt_rate,0.02,11,3,overall,18,1.0,34.05555555555556,True
isolation_forest,1,alt_rate,0.02,14,1,climb,35,0.7714285714285715,2.1142857142857143,False
isolation_forest,1,alt_rate,0.02,14,1,cruise,35,0.4,3.2285714285714286,False
isolation_forest,1,alt_rate,0.02,14,1,descent,35,1.0,9.342857142857143,False
isolation_forest,1,alt_rate,0.02,14,1,overall,35,1.0,14.685714285714285,False
isolation_forest,1,alt_rate,0.02,15,2,climb,23,0.9130434782608695,1.565217391304348,False
isolation_forest,1,alt_rate,0.02,15,2,cruise,23,0.17391304347826086,1.7826086956521738,False
isolation_forest,1,alt_rate,0.02,15,2,descent,23,1.0,22.26086956521739,False
isolation_forest,1,alt_rate,0.02,15,2,overall,23,1.0,25.565217391304348,False
isolation_forest,1,alt_rate,0.02,all,mixed,climb,76,0.8552631578947368,1.894736842105263,False
isolation_forest,1,alt_rate,0.02,all,mixed,cruise,76,0.3815789473684211,2.986842105263158,False
isolation_forest,1,alt_rate,0.02,all,mixed,descent,76,1.0,17.69736842105263,False
isolation_forest,1,alt_rate,0.02,all,mixed,overall,76,1.0,22.56578947368421,False
isolation_forest,2,primary,0.005,11,3,climb,18,0.5,0.5555555555555556,True
isolation_forest,2,primary,0.005,11,3,cruise,18,0.7222222222222222,3.6666666666666665,True
isolation_forest,2,primary,0.005,11,3,descent,18,1.0,14.777777777777779,True
isolation_forest,2,primary,0.005,11,3,overall,18,1.0,19.0,True
isolation_forest,2,primary,0.005,14,1,climb,35,0.4,0.45714285714285713,False
isolation_forest,2,primary,0.005,14,1,cruise,35,0.2571428571428571,1.542857142857143,False
isolation_forest,2,primary,0.005,14,1,descent,35,0.5142857142857142,0.9428571428571428,False
isolation_forest,2,primary,0.005,14,1,overall,35,0.9142857142857143,2.942857142857143,False
isolation_forest,2,primary,0.005,15,2,climb,23,0.17391304347826086,0.30434782608695654,False
isolation_forest,2,primary,0.005,15,2,cruise,23,0.21739130434782608,1.7826086956521738,False
isolation_forest,2,primary,0.005,15,2,descent,23,0.4782608695652174,4.826086956521739,False
isolation_forest,2,primary,0.005,15,2,overall,23,0.6086956521739131,6.913043478260869,False
isolation_forest,2,primary,0.005,all,mixed,climb,76,0.35526315789473684,0.4342105263157895,False
isolation_forest,2,primary,0.005,all,mixed,cruise,76,0.35526315789473684,2.1184210526315788,False
isolation_forest,2,primary,0.005,all,mixed,descent,76,0.618421052631579,5.394736842105263,False
isolation_forest,2,primary,0.005,all,mixed,overall,76,0.8421052631578947,7.947368421052632,False
isolation_forest,2,primary,0.01,11,3,climb,18,0.7777777777777778,0.8888888888888888,True
isolation_forest,2,primary,0.01,11,3,cruise,18,0.7777777777777778,4.777777777777778,True
isolation_forest,2,primary,0.01,11,3,descent,18,1.0,16.666666666666668,True
isolation_forest,2,primary,0.01,11,3,overall,18,1.0,22.333333333333332,True
isolation_forest,2,primary,0.01,14,1,climb,35,0.6,0.8857142857142857,False
