detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.01,11,14,3,climb,3378,0,0,0,True
pca,-1,primary,0.01,11,14,3,cruise,2869,6,1,4,True
pca,-1,primary,0.01,11,14,3,descent,5326,139,1,42,True
pca,-1,primary,0.01,11,15,3,overall,7701,47,1,37,True
pca,-1,primary,0.01,11,15,3,climb,2139,0,0,0,True
pca,-1,primary,0.01,11,15,3,cruise,1849,0,0,0,True
pca,-1,primary,0.01,11,15,3,descent,3713,47,1,37,True
pca,-1,primary,0.01,11,16,3,overall,11457,106,1,30,True
pca,-1,primary,0.01,11,16,3,climb,3291,0,0,0,True
pca,-1,primary,0.01,11,16,3,cruise,5172,1,1,1,True
pca,-1,primary,0.01,11,16,3,descent,2994,105,1,29,True
pca,-1,primary,0.01,11,17,3,overall,11457,111,1,25,True
pca,-1,primary,0.01,11,17,3,climb,3291,0,0,0,True
pca,-1,primary,0.01,11,17,3,cruise,5172,1,1,1,True
pca,-1,primary,0.01,11,17,3,descent,2994,110,1,24,True
pca,-1,primary,0.01,11,18,3,overall,12562,199,1,80,True
pca,-1,primary,0.01,11,18,3,climb,4727,0,0,0,True
pca,-1,primary,0.01,11,18,3,cruise,3161,6,1,4,True
pca,-1,primary,0.01,11,18,3,descent,4674,193,1,76,True
pca,-1,primary,0.01,14,1,1,overall,2551,8,1,4,False
pca,-1,primary,0.01,14,1,1,climb,79,0,0,0,False
pca,-1,primary,0.01,14,1,1,cruise,2364,4,1,2,False
pca,-1,primary,0.01,14,1,1,descent,108,4,1,2,False
pca,-1,primary,0.01,14,2,1,overall,1528,19,1,4,False
pca,-1,primary,0.01,14,2,1,climb,435,0,0,0,False
pca,-1,primary,0.01,14,2,1,cruise,592,0,0,0,False
pca,-1,primary,0.01,14,2,1,descent,501,19,1,4,False
pca,-1,primary,0.01,14,3,1,overall,1887,25,1,16,False
pca,-1,primary,0.01,14,3,1,climb,227,3,1,2,False
pca,-1,primary,0.01,14,3,1,cruise,1396,20,1,12,False
pca,-1,primary,0.01,14,3,1,descent,264,2,1,2,False
pca,-1,primary,0.01,14,4,1,overall,1303,35,1,19,False
pca,-1,primary,0.01,14,4,1,climb,87,0,0,0,False
pca,-1,primary,0.01,14,4,1,cruise,1069,17,1,13,False
pca,-1,primary,0.01,14,4,1,descent,147,18,1,6,False
pca,-1,primary,0.01,14,5,1,overall,2641,193,1,20,False
pca,-1,primary,0.01,14,5,1,climb,1059,0,0,0,False
pca,-1,primary,0.01,14,5,1,cruise,390,0,0,0,False
pca,-1,primary,0.01,14,5,1,descent,1192,193,1,20,False
pca,-1,primary,0.01,14,6,1,overall,2918,7,1,4,False
pca,-1,primary,0.01,14,6,1,climb,222,0,0,0,False
pca,-1,primary,0.01,14,6,1,cruise,1468,0,0,0,False
pca,-1,primary,0.01,14,6,1,descent,1228,7,1,4,False
pca,-1,primary,0.01,14,7,1,overall,1303,35,1,19,False
pca,-1,primary,0.01,14,7,1,climb,87,0,0,0,False
pca,-1,primary,0.01,14,7,1,cruise,1069,17,1,13,False
pca,-1,primary,0.01,14,7,1,descent,147,18,1,6,False
pca,-1,primary,0.01,14,8,1,overall,2551,8,1,4,False
pca,-1,primary,0.01,14,8,1,climb,79,0,0,0,False
pca,-1,primary,0.01,14,8,1,cruise,2364,4,1,2,False
pca,-1,primary,0.01,14,8,1,descent,108,4,1,2,False
pca,-1,primary,0.01,14,9,1,overall,1706,38,1,8,False
